group,function,value,sample_time_nanos,iteration_count
Optimized route match,,,930826.0,341
Optimized route match,,,1894338.0,682
Optimized route match,,,2760748.0,1023
Optimized route match,,,3658003.0,1364
Optimized route match,,,5539855.0,1705
Optimized route match,,,5631942.0,2046
Optimized route match,,,6420680.0,2387
Optimized route match,,,7560003.0,2728
Optimized route match,,,8199712.0,3069
Optimized route match,,,9238338.0,3410
Optimized route match,,,10181305.0,3751
Optimized route match,,,11935380.0,4092
Optimized route match,,,12234658.0,4433
Optimized route match,,,12634441.0,4774
Optimized route match,,,13868382.0,5115
Optimized route match,,,14471314.0,5456
Optimized route match,,,18008733.0,5797
Optimized route match,,,18929152.0,6138
Optimized route match,,,18262901.0,6479
Optimized route match,,,20106486.0,6820
Optimized route match,,,21634136.0,7161
Optimized route match,,,20745776.0,7502
Optimized route match,,,23523295.0,7843
Optimized route match,,,23171572.0,8184
Optimized route match,,,23835110.0,8525
Optimized route match,,,23969692.0,8866
Optimized route match,,,24945573.0,9207
Optimized route match,,,26588987.0,9548
Optimized route match,,,26705317.0,9889
Optimized route match,,,27140628.0,10230
Optimized route match,,,31249330.0,10571
Optimized route match,,,31113450.0,10912
Optimized route match,,,30925567.0,11253
Optimized route match,,,31037994.0,11594
Optimized route match,,,32890444.0,11935
Optimized route match,,,31944350.0,12276
Optimized route match,,,33365662.0,12617
Optimized route match,,,36686185.0,12958
Optimized route match,,,36016452.0,13299
Optimized route match,,,36462368.0,13640
Optimized route match,,,38474515.0,13981
Optimized route match,,,37973511.0,14322
Optimized route match,,,41280141.0,14663
Optimized route match,,,41692531.0,15004
Optimized route match,,,41364381.0,15345
Optimized route match,,,42837843.0,15686
Optimized route match,,,42653498.0,16027
Optimized route match,,,45388324.0,16368
Optimized route match,,,44115710.0,16709
Optimized route match,,,46833465.0,17050
Optimized route match,,,48638834.0,17391
Optimized route match,,,47457849.0,17732
Optimized route match,,,48464407.0,18073
Optimized route match,,,50217076.0,18414
Optimized route match,,,50107572.0,18755
Optimized route match,,,52646950.0,19096
Optimized route match,,,51705093.0,19437
Optimized route match,,,53967888.0,19778
Optimized route match,,,55419103.0,20119
Optimized route match,,,57832399.0,20460
Optimized route match,,,55277990.0,20801
Optimized route match,,,58271610.0,21142
Optimized route match,,,57116611.0,21483
Optimized route match,,,61784026.0,21824
Optimized route match,,,59812434.0,22165
Optimized route match,,,58754721.0,22506
Optimized route match,,,61321736.0,22847
Optimized route match,,,61656888.0,23188
Optimized route match,,,66091882.0,23529
Optimized route match,,,66048080.0,23870
Optimized route match,,,64852041.0,24211
Optimized route match,,,67675109.0,24552
Optimized route match,,,67066564.0,24893
Optimized route match,,,67303136.0,25234
Optimized route match,,,69285587.0,25575
Optimized route match,,,71503562.0,25916
Optimized route match,,,72265382.0,26257
Optimized route match,,,72593828.0,26598
Optimized route match,,,72228015.0,26939
Optimized route match,,,71378440.0,27280
Optimized route match,,,75434505.0,27621
Optimized route match,,,82586650.0,27962
Optimized route match,,,99378511.0,28303
Optimized route match,,,100125980.0,28644
Optimized route match,,,97222570.0,28985
Optimized route match,,,95398970.0,29326
Optimized route match,,,101295847.0,29667
Optimized route match,,,98854399.0,30008
Optimized route match,,,99841162.0,30349
Optimized route match,,,101625635.0,30690
Optimized route match,,,83235926.0,31031
Optimized route match,,,84486342.0,31372
Optimized route match,,,85911968.0,31713
Optimized route match,,,89295571.0,32054
Optimized route match,,,89900056.0,32395
Optimized route match,,,89431522.0,32736
Optimized route match,,,88413406.0,33077
Optimized route match,,,90292469.0,33418
Optimized route match,,,91596152.0,33759
Optimized route match,,,91478646.0,34100
