group,function,value,sample_time_nanos,iteration_count
Route match with query params,,,967431.0,248
Route match with query params,,,2619541.0,496
Route match with query params,,,3298109.0,744
Route match with query params,,,3826046.0,992
Route match with query params,,,4717026.0,1240
Route match with query params,,,6501992.0,1488
Route match with query params,,,7963427.0,1736
Route match with query params,,,9515781.0,1984
Route match with query params,,,11349702.0,2232
Route match with query params,,,12031225.0,2480
Route match with query params,,,14038927.0,2728
Route match with query params,,,15430456.0,2976
Route match with query params,,,17167703.0,3224
Route match with query params,,,18807680.0,3472
Route match with query params,,,19357748.0,3720
Route match with query params,,,20016085.0,3968
Route match with query params,,,21714067.0,4216
Route match with query params,,,23166036.0,4464
Route match with query params,,,24712335.0,4712
Route match with query params,,,25082018.0,4960
Route match with query params,,,27590649.0,5208
Route match with query params,,,29006395.0,5456
Route match with query params,,,29970516.0,5704
Route match with query params,,,31961038.0,5952
Route match with query params,,,32240734.0,6200
Route match with query params,,,33948445.0,6448
Route match with query params,,,34345312.0,6696
Route match with query params,,,35625317.0,6944
Route match with query params,,,36747371.0,7192
Route match with query params,,,37855542.0,7440
Route match with query params,,,40028450.0,7688
Route match with query params,,,41726524.0,7936
Route match with query params,,,42069801.0,8184
Route match with query params,,,42555953.0,8432
Route match with query params,,,44552814.0,8680
Route match with query params,,,46031252.0,8928
Route match with query params,,,45965231.0,9176
Route match with query params,,,49453205.0,9424
Route match with query params,,,54104158.0,9672
Route match with query params,,,53374417.0,9920
Route match with query params,,,49259869.0,10168
Route match with query params,,,40409341.0,10416
Route match with query params,,,41349120.0,10664
Route match with query params,,,41801460.0,10912
Route match with query params,,,44462057.0,11160
Route match with query params,,,46448857.0,11408
Route match with query params,,,46911648.0,11656
Route match with query params,,,58398108.0,11904
Route match with query params,,,58200350.0,12152
Route match with query params,,,54697550.0,12400
Route match with query params,,,50060431.0,12648
Route match with query params,,,50123261.0,12896
Route match with query params,,,51858096.0,13144
Route match with query params,,,52682837.0,13392
Route match with query params,,,54697438.0,13640
Route match with query params,,,54676303.0,13888
Route match with query params,,,54682265.0,14136
Route match with query params,,,62120577.0,14384
Route match with query params,,,78271293.0,14632
Route match with query params,,,82856860.0,14880
Route match with query params,,,75463937.0,15128
Route match with query params,,,60615154.0,15376
Route match with query params,,,60751660.0,15624
Route match with query params,,,63214419.0,15872
Route match with query params,,,64104314.0,16120
Route match with query params,,,67473481.0,16368
Route match with query params,,,64463167.0,16616
Route match with query params,,,65675847.0,16864
Route match with query params,,,66636993.0,17112
Route match with query params,,,67756510.0,17360
Route match with query params,,,67844511.0,17608
Route match with query params,,,69914745.0,17856
Route match with query params,,,71444506.0,18104
Route match with query params,,,72007638.0,18352
Route match with query params,,,72944782.0,18600
Route match with query params,,,74198041.0,18848
Route match with query params,,,74618370.0,19096
Route match with query params,,,74850924.0,19344
Route match with query params,,,79163928.0,19592
Route match with query params,,,77630923.0,19840
Route match with query params,,,78429412.0,20088
Route match with query params,,,85602660.0,20336
Route match with query params,,,83317741.0,20584
Route match with query params,,,83717100.0,20832
Route match with query params,,,81857484.0,21080
Route match with query params,,,81775545.0,21328
Route match with query params,,,84386932.0,21576
Route match with query params,,,83966533.0,21824
Route match with query params,,,100626284.0,22072
Route match with query params,,,112482574.0,22320
Route match with query params,,,88086334.0,22568
Route match with query params,,,86593559.0,22816
Route match with query params,,,89898571.0,23064
Route match with query params,,,89835800.0,23312
Route match with query params,,,90808506.0,23560
Route match with query params,,,97244907.0,23808
Route match with query params,,,123673946.0,24056
Route match with query params,,,99491124.0,24304
Route match with query params,,,94285934.0,24552
Route match with query params,,,93133335.0,24800
