group,function,value,sample_time_nanos,iteration_count
Route match with route params,,,966535.0,247
Route match with route params,,,1870768.0,494
Route match with route params,,,3171539.0,741
Route match with route params,,,3717416.0,988
Route match with route params,,,4757514.0,1235
Route match with route params,,,5565646.0,1482
Route match with route params,,,6549297.0,1729
Route match with route params,,,7917266.0,1976
Route match with route params,,,8922773.0,2223
Route match with route params,,,9320898.0,2470
Route match with route params,,,11341306.0,2717
Route match with route params,,,11250230.0,2964
Route match with route params,,,11859264.0,3211
Route match with route params,,,12858262.0,3458
Route match with route params,,,14334504.0,3705
Route match with route params,,,14826193.0,3952
Route match with route params,,,16527652.0,4199
Route match with route params,,,17004846.0,4446
Route match with route params,,,17230890.0,4693
Route match with route params,,,18243048.0,4940
Route match with route params,,,19144133.0,5187
Route match with route params,,,20972200.0,5434
Route match with route params,,,21552620.0,5681
Route match with route params,,,21906798.0,5928
Route match with route params,,,23357569.0,6175
Route match with route params,,,23567477.0,6422
Route match with route params,,,26195523.0,6669
Route match with route params,,,27106701.0,6916
Route match with route params,,,27411853.0,7163
Route match with route params,,,27787276.0,7410
Route match with route params,,,29880310.0,7657
Route match with route params,,,29811213.0,7904
Route match with route params,,,30114068.0,8151
Route match with route params,,,32335323.0,8398
Route match with route params,,,32740471.0,8645
Route match with route params,,,32754038.0,8892
Route match with route params,,,35621285.0,9139
Route match with route params,,,35652055.0,9386
Route match with route params,,,35426567.0,9633
Route match with route params,,,38280797.0,9880
Route match with route params,,,37986653.0,10127
Route match with route params,,,39071374.0,10374
Route match with route params,,,41523636.0,10621
Route match with route params,,,40053504.0,10868
Route match with route params,,,42844518.0,11115
Route match with route params,,,42591032.0,11362
Route match with route params,,,44595435.0,11609
Route match with route params,,,45397298.0,11856
Route match with route params,,,45394702.0,12103
Route match with route params,,,47054297.0,12350
Route match with route params,,,45943830.0,12597
Route match with route params,,,48998095.0,12844
Route match with route params,,,47456689.0,13091
Route match with route params,,,51815038.0,13338
Route match with route params,,,51163034.0,13585
Route match with route params,,,67147294.0,13832
Route match with route params,,,66305977.0,14079
Route match with route params,,,54394986.0,14326
Route match with route params,,,55747311.0,14573
Route match with route params,,,54451201.0,14820
Route match with route params,,,58811650.0,15067
Route match with route params,,,57272755.0,15314
Route match with route params,,,60232357.0,15561
Route match with route params,,,59298574.0,15808
Route match with route params,,,60039949.0,16055
Route match with route params,,,61818017.0,16302
Route match with route params,,,60498731.0,16549
Route match with route params,,,63031156.0,16796
Route match with route params,,,63506212.0,17043
Route match with route params,,,65828441.0,17290
Route match with route params,,,67235269.0,17537
Route match with route params,,,68406830.0,17784
Route match with route params,,,67899809.0,18031
Route match with route params,,,71890234.0,18278
Route match with route params,,,74908148.0,18525
Route match with route params,,,69520687.0,18772
Route match with route params,,,75116164.0,19019
Route match with route params,,,73433266.0,19266
Route match with route params,,,73652611.0,19513
Route match with route params,,,71258949.0,19760
Route match with route params,,,76618290.0,20007
Route match with route params,,,76555483.0,20254
Route match with route params,,,75382652.0,20501
Route match with route params,,,80381336.0,20748
Route match with route params,,,79811892.0,20995
Route match with route params,,,81938424.0,21242
Route match with route params,,,83320534.0,21489
Route match with route params,,,92094721.0,21736
Route match with route params,,,90615662.0,21983
Route match with route params,,,88750796.0,22230
Route match with route params,,,88286784.0,22477
Route match with route params,,,103900303.0,22724
Route match with route params,,,86899898.0,22971
Route match with route params,,,88862280.0,23218
Route match with route params,,,89942924.0,23465
Route match with route params,,,117199071.0,23712
Route match with route params,,,127827117.0,23959
Route match with route params,,,113225050.0,24206
Route match with route params,,,96687951.0,24453
Route match with route params,,,95372398.0,24700
