group,function,value,sample_time_nanos,iteration_count
Route match,,,969602.0,333
Route match,,,2411018.0,666
Route match,,,2952150.0,999
Route match,,,4164663.0,1332
Route match,,,5074763.0,1665
Route match,,,5642721.0,1998
Route match,,,6685476.0,2331
Route match,,,7815581.0,2664
Route match,,,8615107.0,2997
Route match,,,9496020.0,3330
Route match,,,10557238.0,3663
Route match,,,11256638.0,3996
Route match,,,13169412.0,4329
Route match,,,13554366.0,4662
Route match,,,15056833.0,4995
Route match,,,15163800.0,5328
Route match,,,16824344.0,5661
Route match,,,16812898.0,5994
Route match,,,17845827.0,6327
Route match,,,20112939.0,6660
Route match,,,20523777.0,6993
Route match,,,20831369.0,7326
Route match,,,21991980.0,7659
Route match,,,23612420.0,7992
Route match,,,24228422.0,8325
Route match,,,24844803.0,8658
Route match,,,25379947.0,8991
Route match,,,27842921.0,9324
Route match,,,27684406.0,9657
Route match,,,28007706.0,9990
Route match,,,28913999.0,10323
Route match,,,31116846.0,10656
Route match,,,32224557.0,10989
Route match,,,32396901.0,11322
Route match,,,35284956.0,11655
Route match,,,35746399.0,11988
Route match,,,34746691.0,12321
Route match,,,38444811.0,12654
Route match,,,36201184.0,12987
Route match,,,38730673.0,13320
Route match,,,40001634.0,13653
Route match,,,39424490.0,13986
Route match,,,41687416.0,14319
Route match,,,41469698.0,14652
Route match,,,43974449.0,14985
Route match,,,43516783.0,15318
Route match,,,44057769.0,15651
Route match,,,48170215.0,15984
Route match,,,47082923.0,16317
Route match,,,48696717.0,16650
Route match,,,47336550.0,16983
Route match,,,50375831.0,17316
Route match,,,51296675.0,17649
Route match,,,52581491.0,17982
Route match,,,51666605.0,18315
Route match,,,55271918.0,18648
Route match,,,53360670.0,18981
Route match,,,58543862.0,19314
Route match,,,55240045.0,19647
Route match,,,58262926.0,19980
Route match,,,59077680.0,20313
Route match,,,58161004.0,20646
Route match,,,59965215.0,20979
Route match,,,60236279.0,21312
Route match,,,61731516.0,21645
Route match,,,62460804.0,21978
Route match,,,65426718.0,22311
Route match,,,64597896.0,22644
Route match,,,67251039.0,22977
Route match,,,69441867.0,23310
Route match,,,67436614.0,23643
Route match,,,68084269.0,23976
Route match,,,70803746.0,24309
Route match,,,71136957.0,24642
Route match,,,71736356.0,24975
Route match,,,74431173.0,25308
Route match,,,74172513.0,25641
Route match,,,74353611.0,25974
Route match,,,77496836.0,26307
Route match,,,77639757.0,26640
Route match,,,78642177.0,26973
Route match,,,79451919.0,27306
Route match,,,78018679.0,27639
Route match,,,81232563.0,27972
Route match,,,83360683.0,28305
Route match,,,83023977.0,28638
Route match,,,84931848.0,28971
Route match,,,86940572.0,29304
Route match,,,85353536.0,29637
Route match,,,85998324.0,29970
Route match,,,87341677.0,30303
Route match,,,90251855.0,30636
Route match,,,89859357.0,30969
Route match,,,91872569.0,31302
Route match,,,92991165.0,31635
Route match,,,92786242.0,31968
Route match,,,100522402.0,32301
Route match,,,98729238.0,32634
Route match,,,111572643.0,32967
Route match,,,112967244.0,33300
